plant_code,plant_name,utility_id,utility_name,street_address,city,county,state,zip_code,latitude,longitude,coordinate_status,nerc_region,balancing_authority_code,balancing_authority_name,sector_name,regulatory_status,transmission_owner,grid_voltage_1_kv,grid_voltage_2_kv,grid_voltage_3_kv,energy_storage_flag,generator_count,operable_nameplate_capacity_mw,operable_summer_capacity_mw,operable_winter_capacity_mw,primary_fuel_code,primary_technology,status_mix,carbon_capture_generator_count,carbon_capture_generator_ids,carbon_capture_present_flag,boiler_id_count,boiler_ids,cooling_id_count,cooling_ids,particulate_control_id_count,particulate_control_ids,so2_control_id_count,so2_control_ids,nox_control_id_count,nox_control_ids,mercury_control_id_count,mercury_control_ids,stack_flue_id_count,stack_flue_ids,emissions_control_equipment_count,emissions_control_equipment_types,acid_gas_control_present_flag,emissions_control_statuses,emissions_control_total_cost_thousand_dollars,emissions_control_inservice_years,emissions_control_retirement_years,new_source_review_flags,new_source_review_permits,new_source_review_years,sulfur_regulations,sulfur_standard_rates,sulfur_standard_units,sulfur_standard_periods,sulfur_percent_scrubbed_values,sulfur_compliance_years,sulfur_existing_strategies,sulfur_proposed_strategies,nitrogen_regulations,nitrogen_standard_rates,nitrogen_standard_units,nitrogen_standard_periods,nitrogen_compliance_years,nitrogen_existing_strategies,nitrogen_proposed_strategies,particulate_regulations,particulate_standard_rates,particulate_standard_units,particulate_standard_periods,particulate_compliance_years,mercury_regulations,mercury_compliance_years,mercury_existing_strategies,mercury_proposed_strategies,cooling_statuses,cooling_types,cooling_water_sources,cooling_water_discharges,cooling_intake_rate_gpm_total,cooling_power_requirement_mw_total,cooling_total_cost_thousand_dollars,particulate_collector_types,particulate_collection_efficiency_pct_max,particulate_design_emission_rate_lb_per_hour_total,particulate_gas_exit_rate_cfm_total,particulate_gas_exit_temperature_f_max,so2_control_types,so2_sorbent_types,so2_removal_efficiency_pct_max,so2_design_emission_rate_lb_per_hour_total,so2_flue_gas_exit_rate_cfm_total,so2_flue_gas_exit_temperature_f_max,so2_fgd_total_cost_thousand_dollars,stack_flue_statuses,stack_height_ft_max,stack_exit_rate_100_cfm_total,stack_exit_temperature_100_f_max,stack_exit_velocity_100_ft_per_second_max,co2_emissions_value,co2_emissions_unit,co2_emissions_basis,co2_emissions_source,co2_emissions_reporting_year,co2e_emissions_value,co2e_emissions_unit,co2e_emissions_basis,co2e_emissions_source,co2e_emissions_reporting_year,ch4_emissions_value,ch4_emissions_unit,ch4_emissions_basis,ch4_emissions_source,ch4_emissions_reporting_year,n2o_emissions_value,n2o_emissions_unit,n2o_emissions_basis,n2o_emissions_source,n2o_emissions_reporting_year,so2_emissions_value,so2_emissions_unit,so2_emissions_basis,so2_emissions_source,so2_emissions_reporting_year,nox_emissions_value,nox_emissions_unit,nox_emissions_basis,nox_emissions_source,nox_emissions_reporting_year,particulate_matter_emissions_value,particulate_matter_emissions_unit,particulate_matter_emissions_basis,particulate_matter_emissions_source,particulate_matter_emissions_reporting_year,mercury_emissions_value,mercury_emissions_unit,mercury_emissions_basis,mercury_emissions_source,mercury_emissions_reporting_year,radioisotopic_emissions_value,radioisotopic_emissions_unit,radioisotopic_emissions_basis,radioisotopic_emissions_source,radioisotopic_emissions_reporting_year,emissions_profile_status,source_dataset,source_sheets
7493,King Cove,9897,City of King Cove,10000 Windy Walkway,King Cove,Aleutians East,AK,99612,55.04817,-162.29323,present,,,,Electric Utility,RE,City of King Cove,0.48,,,N,6,3.9,3.9,3.9,DFO,Petroleum Liquids,OP:5|SB:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.932,tons,annual_mass,EPA eGRID2023 PLNT23,2023,649.452,tons,annual_mass,EPA eGRID2023 PLNT23,2023,62.223,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,12.445,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,0.608,tons,annual_mass,EPA eGRID2023 PLNT23,2023,22.086,tons,annual_mass,EPA eGRID2023 PLNT23,2023,1.216905,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
1,Sand Point,63560,"Sand Point Generating, LLC",100 Power Plant Way,Sand Point,Aleutians East,AK,99661,55.339722,-160.497222,present,,,,Electric Utility,RE,"TDX Sand Point Generating, LLC",0.48,,,N,6,3.7,1.7,1.7,DFO,Petroleum Liquids,OP:3|OS:2|SB:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2644.244,tons,annual_mass,EPA eGRID2023 PLNT23,2023,2652.917,tons,annual_mass,EPA eGRID2023 PLNT23,2023,214.157,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,42.831,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,4.695,tons,annual_mass,EPA eGRID2023 PLNT23,2023,51.623,tons,annual_mass,EPA eGRID2023 PLNT23,2023,5.50095,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
7502,Dutch Harbor,19454,City of Unalaska - (AK),1732 East Point Road,Dutch Harbor,Aleutians West,AK,99692,53.892459,-166.538185,present,,,,Electric Utility,RE,City of Unalaska - (AK),4.16,,,N,7,21.9,18.4,18.4,DFO,Petroleum Liquids,OP:6|SB:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31858.646,tons,annual_mass,EPA eGRID2023 PLNT23,2023,31963.145,tons,annual_mass,EPA eGRID2023 PLNT23,2023,2580.231,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,516.046,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,56.568,tons,annual_mass,EPA eGRID2023 PLNT23,2023,636.067,tons,annual_mass,EPA eGRID2023 PLNT23,2023,63.375935,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
7503,Unalaska Power Module,19454,City of Unalaska - (AK),1035 East Broadway,Unalaska,Aleutians West,AK,99685,53.863993,-166.512591,present,,,,Electric Utility,RE,City of Unalaska - (AK),4.16,,,N,1,1.1,0.8,0.8,DFO,Petroleum Liquids,OP:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.543,tons,annual_mass,EPA eGRID2023 PLNT23,2023,34.656,tons,annual_mass,EPA eGRID2023 PLNT23,2023,2.798,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,0.56,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,0.061,tons,annual_mass,EPA eGRID2023 PLNT23,2023,0.69,tons,annual_mass,EPA eGRID2023 PLNT23,2023,2.055455,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
54422,Unisea G 2,19553,Unisea Inc,Salmon Way,Dutch Harbor,Aleutians West,AK,99692,53.8796,-166.5532,present,,,,Industrial Non-CHP,NR,City of Unalaska - (AK),12.4,,,N,8,17.5,15.5,15.5,DFO,Petroleum Liquids,OP:8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26089.246,tons,annual_mass,EPA eGRID2023 PLNT23,2023,26174.821,tons,annual_mass,EPA eGRID2023 PLNT23,2023,2112.967,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,422.594,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,46.324,tons,annual_mass,EPA eGRID2023 PLNT23,2023,511.855,tons,annual_mass,EPA eGRID2023 PLNT23,2023,49.269075,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
54305,Westward Seafoods,20523,Westward Seafoods Inc,One Mile Captains Bay rd.,Dutch Harbor,Aleutians West,AK,99692,53.858508,-166.55288,present,,,,Industrial CHP,NR,City of Unalaska - (AK),4.16,,,N,3,6.6,6.6,6.6,DFO,Petroleum Liquids,OP:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7594.591,tons,annual_mass,EPA eGRID2023 PLNT23,2023,7619.502,tons,annual_mass,EPA eGRID2023 PLNT23,2023,615.086,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,123.017,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,13.485,tons,annual_mass,EPA eGRID2023 PLNT23,2023,139.795,tons,annual_mass,EPA eGRID2023 PLNT23,2023,12.066112,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
58989,Eklutna Generation Station,11824,Matanuska Electric Assn Inc,28705 Denaina Elders Road,Chugiak,Anchorage,AK,99567,61.457778,-149.351389,present,,,,Electric Utility,RE,Matanuska Electric Assn Inc,115,,,N,10,171,165,165,NG,Natural Gas Internal Combustion Engine,OP:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361712.49,tons,annual_mass,EPA eGRID2023 PLNT23,2023,362083.92,tons,annual_mass,EPA eGRID2023 PLNT23,2023,13644.391,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,1361.577,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,9.89,tons,annual_mass,EPA eGRID2023 PLNT23,2023,8531.44,tons,annual_mass,EPA eGRID2023 PLNT23,2023,1.240276,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
58425,Fire Island Wind,58422,Fire Island Wind LLC,"725 E Fireweed Ln, Suite 800",Anchorage,Anchorage,AK,99503,61.13,-150.243611,present,,,,IPP Non-CHP,NR,Chugach Electric Assn Inc,34.5,,,N,1,18,18,18,WND,Onshore Wind Turbine,OP:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,external_join_required,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
6559,George M Sullivan Generation Plant 2,3522,Chugach Electric Assn Inc,8700 Starview Drive,Anchorage,Anchorage,AK,99504,61.229713,-149.716744,present,,,,Electric Utility,RE,Chugach Electric Assn Inc,115,,,N,5,346.9,309.3,297.3,NG,Natural Gas Fired Combined Cycle,OP:3|SB:2,,,,2,5B|7GB,0,,0,,0,,0,,0,,0,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418064.646,tons,annual_mass,EPA eGRID2023 PLNT23,2023,418517.807,tons,annual_mass,EPA eGRID2023 PLNT23,2023,16646.726,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,1661.181,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,2.612,tons,annual_mass,EPA eGRID2023 PLNT23,2023,1171.687,tons,annual_mass,EPA eGRID2023 PLNT23,2023,15.844035,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
75,Hank Nikkels Plant 1,3522,Chugach Electric Assn Inc,821 E. 1st Ave,Anchorage,Anchorage,AK,99501,61.2221,-149.8661,present,,,,Electric Utility,RE,Chugach Electric Assn Inc,115,,,N,3,77.9,62.4,68.1,NG,Natural Gas Fired Combustion Turbine,OP:2|OS:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24204.1,tons,annual_mass,EPA eGRID2023 PLNT23,2023,24228.954,tons,annual_mass,EPA eGRID2023 PLNT23,2023,913.019,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,91.11,lbs,annual_mass,EPA eGRID2023 PLNT23,2023,0.662,tons,annual_mass,EPA eGRID2023 PLNT23,2023,66.262,tons,annual_mass,EPA eGRID2023 PLNT23,2023,0.444246,tons,annual_mass,EPA eGRID PM2.5 2021 Plant-level Data,2021,,,,,,,,,,,populated_from_epa_egrid_2023_and_pm25_2021,EIA-860 2024|EPA eGRID2023|EPA eGRID PM2.5 2021,Plant|Operable|Boiler Generator|Boiler Cooling|Boiler Particulate Matter|Boiler SO2|Boiler NOx|Boiler Mercury|Boiler Stack Flue|Emissions Control Equipment|Emission Standards & Strategies|Cooling|FGP|FGD|Stack Flue|PLNT23|2021 PM Plant-level Data
