target,target_label,host,host_status,scan_status,port,protocol,service_name,product,version,extrainfo,cpe,error
3.128.0.0,nirsoft-us-range-00002-3.128.0.0-3.255.255.255,3.128.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
13.158.0.0,nirsoft-us-range-00064-13.158.0.0-13.159.255.255,13.158.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.160.0.0,nirsoft-us-range-00110-15.160.0.0-15.161.255.255,15.160.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
13.48.0.0,nirsoft-us-range-00035-13.48.0.0-13.55.255.255,13.48.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.236.0.0,nirsoft-us-range-00155-15.236.0.0-15.239.255.255,15.236.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.188.0.0,nirsoft-us-range-00125-15.188.0.0-15.188.255.255,15.188.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
13.134.0.0,nirsoft-us-range-00050-13.134.0.0-13.135.255.255,13.134.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.232.0.0,nirsoft-us-range-00153-15.232.0.0-15.233.255.255,15.232.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
13.192.0.0,nirsoft-us-range-00073-13.192.0.0-13.199.255.255,13.192.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.228.0.0,nirsoft-us-range-00152-15.228.0.0-15.231.255.255,15.228.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.164.0.0,nirsoft-us-range-00113-15.164.0.0-15.167.255.255,15.164.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.168.0.0,nirsoft-us-range-00114-15.168.0.0-15.171.255.255,15.168.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
16.144.0.0,nirsoft-us-range-00234-16.144.0.0-16.145.255.255,16.144.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
13.60.0.0,nirsoft-us-range-00037-13.60.0.0-13.63.255.255,13.60.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
16.65.0.0,nirsoft-us-range-00187-16.65.0.0-16.65.255.255,16.65.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.240.0.0,nirsoft-us-range-00156-15.240.0.0-15.240.255.255,15.240.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
16.16.0.0,nirsoft-us-range-00173-16.16.0.0-16.17.255.255,16.16.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
16.78.0.0,nirsoft-us-range-00196-16.78.0.0-16.79.255.255,16.78.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
16.208.0.0,nirsoft-us-range-00269-16.208.0.0-16.211.255.255,16.208.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.206.0.0,nirsoft-us-range-00138-15.206.0.0-15.207.255.255,15.206.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.156.0.0,nirsoft-us-range-00107-15.156.0.0-15.157.255.255,15.156.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
18.64.0.0,nirsoft-us-range-00289-18.64.0.0-18.127.255.255,18.64.0.0,up,open-service,80,tcp,http,Amazon CloudFront httpd,,,,
18.64.0.0,nirsoft-us-range-00289-18.64.0.0-18.127.255.255,18.64.0.0,up,open-service,443,tcp,https,,,,,
13.200.0.0,nirsoft-us-range-00074-13.200.0.0-13.207.255.255,13.200.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
16.64.0.0,nirsoft-us-range-00186-16.64.0.0-16.64.255.255,16.64.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
16.176.0.0,nirsoft-us-range-00250-16.176.0.0-16.179.255.255,16.176.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.134.0.0,nirsoft-us-range-00093-15.134.0.0-15.134.255.255,15.134.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
16.184.0.0,nirsoft-us-range-00254-16.184.0.0-16.184.255.255,16.184.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
15.216.0.0,nirsoft-us-range-00144-15.216.0.0-15.216.255.255,15.216.0.0,up,open-service,80,tcp,http,Apache httpd,,,cpe:/a:apache:http_server,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,1,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,3,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,4,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,6,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,7,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,9,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,13,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,17,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,19,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,20,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,21,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,22,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,23,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,24,tcp,tcpwrapped,,,,,
34.8.0.0,nirsoft-us-range-00461-34.8.0.0-34.15.255.255,34.8.0.0,up,open-service,26,tcp,tcpwrapped,,,,,
