field_name,form_eia-860_schedule,form_eia-860_line_number,description,notes,utility,plant,generator___operable,generator___proposed,generator___retired_and_canceled,wind___operable,wind___retired_and_canceled,solar___operable,solar___retired_and_canceled,energy_storage___operable,energy_storage___proposed,energy_storage___retired_and_canceled,multifuel___operable,multifuel___proposed,multifuel___retired_and_canceled,ownership,enviroassoc___boiler_generator,enviroassoc___boiler_cooling,enviroassoc___boiler_particulate_matter,enviroassoc___boiler_so2,enviroassoc___boiler_nox,enviroassoc___boiler_mercury,enviroassoc___boiler_stack_flue,enviroassoc___emissions_control_equipment,enviroequip___emission_standards_&_strategies,enviroequip___boiler_info_&_design_parameters,enviroequip___cooling,enviroequip___fgp,enviroequip___fgd,enviroequip___stackflue
Utility ID,,,EIA-assigned identification number for the company that is responsible for the day-to-day operations of the generator,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Utility Name,1,3,Legal name of the company that is responsible for the day-to-day operations of the generator,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Street Address,1,3,Street address of the operator/owner,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,1,3,Name of the city in which operator/owner is located,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1,3,State of the operator/owner,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zip,1,3,Zip code of the operator/owner,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner?,1,4,Is the reporting entity an owner of power plants reported on Schedule 2 of the form?,Yes / No,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator?,1,4,Is the reporting entity an operator of power plants reported on Schedule 2 of the form?,Yes / No,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Manager?,1,4,Is the reporting entity an asset manager of power plants reported on Schedule 2 of the form?,Yes / No,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Reltionships with Plants Reported on Form?,1,4,Does the reporting entity have any other relationship to the power plants reported on Schedule 2 of the form?,Yes / No,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Type,1,5,Entity type of principle owner,C = Cooperative I = Investor-Owned Utility Q = Independent Power Producer M = Municipally-Owned Utility P = Political Subdivision F = Federally-Owned Utility S = State-Owned Utility IND = Industrial COM = Commercial,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Code,2,1,EIA-assigned plant code,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Plant Name,2,1,Plant name,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Street Address,2,2,Plant street address,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,2,2,Plant city,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
