state,plant_count,coordinates_present_count,coordinates_missing_or_partial_count,source_dataset
AK,157,157,0,EIA-860 2024
AL,104,101,3,EIA-860 2024
AR,145,145,0,EIA-860 2024
AZ,231,231,0,EIA-860 2024
CA,2171,2171,0,EIA-860 2024
CO,342,342,0,EIA-860 2024
CT,201,201,0,EIA-860 2024
DC,22,22,0,EIA-860 2024
DE,43,43,0,EIA-860 2024
FL,405,400,5,EIA-860 2024
GA,315,308,7,EIA-860 2024
HI,93,93,0,EIA-860 2024
IA,331,331,0,EIA-860 2024
ID,160,160,0,EIA-860 2024
IL,566,566,0,EIA-860 2024
IN,269,268,1,EIA-860 2024
KS,212,212,0,EIA-860 2024
KY,92,91,1,EIA-860 2024
LA,128,128,0,EIA-860 2024
MA,700,700,0,EIA-860 2024
MD,246,246,0,EIA-860 2024
ME,269,269,0,EIA-860 2024
MI,332,332,0,EIA-860 2024
MN,837,837,0,EIA-860 2024
MO,164,164,0,EIA-860 2024
MS,88,87,1,EIA-860 2024
MT,83,83,0,EIA-860 2024
NC,988,985,3,EIA-860 2024
ND,71,71,0,EIA-860 2024
NE,141,141,0,EIA-860 2024
NH,61,61,0,EIA-860 2024
NJ,427,427,0,EIA-860 2024
NM,182,181,1,EIA-860 2024
NV,147,147,0,EIA-860 2024
NY,1215,1215,0,EIA-860 2024
OH,262,262,0,EIA-860 2024
OK,167,167,0,EIA-860 2024
OR,321,321,0,EIA-860 2024
PA,324,324,0,EIA-860 2024
RI,109,109,0,EIA-860 2024
SC,259,256,3,EIA-860 2024
SD,62,62,0,EIA-860 2024
TN,124,124,0,EIA-860 2024
TX,1368,1367,1,EIA-860 2024
UT,147,147,0,EIA-860 2024
VA,317,317,0,EIA-860 2024
VT,124,124,0,EIA-860 2024
WA,172,171,1,EIA-860 2024
WI,292,291,1,EIA-860 2024
WV,56,56,0,EIA-860 2024
WY,90,90,0,EIA-860 2024
