station_id,state,state_name,station_name,place_name,latitude,longitude,coordinate_source,geometry_precision,monitoring_year_start,monitoring_year_end,years_with_data_count,approved_sample_count,approved_dose_reading_count,dose_equivalent_rate_avg_nsvh,dose_equivalent_rate_p95_nsvh,dose_equivalent_rate_max_nsvh,gamma_count_rate_total_avg_cpm,background_radiation_band,dominant_radiation_profile,source_dataset,location_name,total_sample_count,first_sample_at_utc,last_sample_at_utc,dose_equivalent_rate_min_nsvh,dose_equivalent_rate_median_nsvh,archive_zip_file,archive_zip_url,r02_avg_cpm,r03_avg_cpm,r04_avg_cpm,r05_avg_cpm,r06_avg_cpm,r07_avg_cpm,r08_avg_cpm,r09_avg_cpm
radnet-ak-anchorage,AK,Alaska,Anchorage,Anchorage,61.17425,-149.284329,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,122779,67778,33.57,40,97,1723.81,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AK: ANCHORAGE,122779,2008-06-05T00:49:00+00:00,2025-12-05T22:34:00+00:00,0,33,data\raw\radiation\epa_radnet\zips\ak_anchorage_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ak_anchorage_2025-2008.zip,851.44,470.67,142.72,76.19,47.07,63.04,46.7,25.99
radnet-ak-fairbanks,AK,Alaska,Fairbanks,Fairbanks,64.836531,-147.651745,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,16,105675,65538,38.48,46,203,2212.61,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AK: FAIRBANKS,105675,2009-02-24T22:29:00+00:00,2025-12-31T23:24:00+00:00,0,38,data\raw\radiation\epa_radnet\zips\ak_fairbanks_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/ak_fairbanks_2025-2009.zip,1065.78,616.45,181.91,104.85,64.5,86.78,58.76,33.6
radnet-ak-juneau,AK,Alaska,Juneau,Juneau,58.37291,-134.178445,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,112264,18645,34.49,40,99,2218.4,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AK: JUNEAU,112264,2010-07-29T20:04:00+00:00,2025-12-28T16:23:00+00:00,15,34,data\raw\radiation\epa_radnet\zips\ak_juneau_2025-2010.zip,https://www.epa.gov/system/files/other-files/2026-02/ak_juneau_2025-2010.zip,1109.94,599.47,185.47,98.32,64.51,80.39,49.45,30.88
radnet-al-birmingham,AL,Alabama,Birmingham,Birmingham,33.527174,-86.797036,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,139879,75493,53.73,61,138,4053.99,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AL: BIRMINGHAM,139879,2007-04-19T22:16:00+00:00,2025-12-31T23:55:00+00:00,44,53,data\raw\radiation\epa_radnet\zips\al_birmingham_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/al_birmingham_2025-2007.zip,2138.29,1114.81,310.19,169.37,100.22,114.94,68.94,37.24
radnet-al-mobile,AL,Alabama,Mobile,Mobile,30.668246,-88.107853,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2015,2025,11,71257,51635,43.79,50,95,3610.85,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AL: MOBILE,71257,2015-08-03T19:54:00+00:00,2025-12-31T23:03:00+00:00,36,43,data\raw\radiation\epa_radnet\zips\al_mobile_2025-2015.zip,https://www.epa.gov/system/files/other-files/2026-02/al_mobile_2025-2015.zip,1789.83,1055.01,301.48,151.5,95.73,108.25,76.62,32.42
radnet-al-montgomery,AL,Alabama,Montgomery,Montgomery,32.348503,-86.267307,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,19,118981,73238,50,57,156,3870.28,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AL: MONTGOMERY,118981,2006-06-07T15:05:00+00:00,2025-12-31T23:47:00+00:00,0,49,data\raw\radiation\epa_radnet\zips\al_montgomery_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/al_montgomery_2025-2006.zip,2000,1027.93,300.41,167.48,110.66,129.58,88.07,46.52
radnet-ar-fort_smith,AR,Arkansas,Fort Smith,Fort Smith,35.349276,-94.370883,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,109455,15746,62.78,67,116,4592.78,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AR: FORT SMITH,109455,2009-02-24T20:45:00+00:00,2025-12-31T23:51:00+00:00,56,62,data\raw\radiation\epa_radnet\zips\ar_fort_smith_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ar_fort_smith_2025-2008.zip,2150.93,1359.32,402.88,220.02,142.25,171.84,109.92,35.73
radnet-ar-little_rock,AR,Arkansas,Little Rock,Little Rock,34.725393,-92.358556,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,135810,47313,89.21,103,147,8056.44,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AR: LITTLE ROCK,135810,2008-07-28T17:36:00+00:00,2025-12-31T23:24:00+00:00,63,88,data\raw\radiation\epa_radnet\zips\ar_little_rock_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ar_little_rock_2025-2008.zip,3904.04,2365.38,686.41,360.59,233.81,280.48,167.77,57.96
radnet-az-phoenix,AZ,Arizona,Phoenix,Phoenix,33.572154,-112.090132,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,116361,72081,85.74,94,156,6224.18,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AZ: PHOENIX,116361,2007-03-23T19:08:00+00:00,2025-12-31T23:42:00+00:00,0,87,data\raw\radiation\epa_radnet\zips\az_phoenix_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/az_phoenix_2025-2007.zip,3039.04,1772.13,527.5,291.35,191,223.08,138.38,41.74
radnet-az-tucson,AZ,Arizona,Tucson,Tucson,32.153036,-110.870773,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,132890,20476,70.96,77,144,6021.7,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,AZ: TUCSON,132890,2008-11-13T17:39:00+00:00,2025-12-31T23:08:00+00:00,63,70,data\raw\radiation\epa_radnet\zips\az_tucson_2024-2008.zip,https://www.epa.gov/system/files/other-files/2025-02/az_tucson_2024-2008.zip,3031.65,1701.09,480.85,262.17,164.39,206.56,129.86,45.34
