asset_id,asset_type,site_name,state,county,latitude,longitude,geometry_precision,primary_material,critical_materials,dominant_raws_profile,asset_status,rank_score,presence_count,production_present_flag,resources_present_flag,total_reported_direct_emissions_mtco2e,iron_and_steel_production_emissions_mtco2e,reporting_year,source_dataset,source_detail,mineral_system,deposit_type,focus_area,production_text,resources_text,source_summary,source_link,ghgrp_facility_id,ghgrp_frs_id,ghgrp_address,ghgrp_primary_naics_code,ghgrp_subparts,ghgrp_sector
ore-472,ore_site,Unnamed PGE site 472,AK,,59.8891,-155.2807,point,PGE,"PGE, rhenium",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Porphyry Cu-Mo-Au,Porphyry/skarn copper,Western Alaska Range PCD,None.,"Measured + Indicated resource (2020; cutoff CuEq 0.3%): 6,456,000,000 tonnes @0.4% Cu, 0.34 g/tonne Au, 240 ppm Mo, 1.7 g/tonne Ag, and 0.41 ppm Re. Inferred resource (2020; cutoff CuEq 0.3%): 4,454,000,000 tonnes @0.25% Cu, 0.25 g/tonne Au, 226 ppm Mo, 1.2 g/tonne Ag, and 0.36 ppm Re. Resource (2011): 1,590,000 troy oz Pd (projected over possible life of mine).",ARDF-ID: IL007; Burger and Long (2018); Kalanchey and others (2022),https://doi.org/10.5066/F7KP81F2.,,,,,,
ore-489,ore_site,Unnamed PGE site 489,AK,,58.9226,-161.7311,point,PGE,PGE,Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Placer,PGE,Placer PGE and Au,"Production (1920s): 50,000 yards of play produced ~ 1,000 oz of platinum group minerals.","There are about 50,000 cubic yards of tailings with an estimated average grade of about 0.0026 oz/cubic yard PGM at Platinum Creek, above the mouth of Squirrel Creek.",ARDF-ID HG014; Fechner (1988),https://mrdata.usgs.gov/ardf/show-ardf.php?ardf_num=HG014,,,,,,
ore-539,ore_site,Unnamed PGE site 539,AK,,58.9392,-161.7022,point,PGE,PGE,Ore Site,CM-past producer,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Placer,PGE,Placer PGE and Au,"Dredge mining started in 1937. A significant part of the estimated 650,000 oz PGM and 15,600 oz Au produced from the Salmon River area placers was recovered from the Salmon River bench placer.","Measured and Indicated reserve estimates (from private company files) total over 63 million cubic yards with grades ranging from 0.0017 to 0.0084 oz/cubic yard PGM (Fechner, 1988).",ARDF-ID: HG032; Fechner (1988),,,,,,,
ore-437,ore_site,Unnamed REE site 437,AK,,66.1191,-150.06083,point,REE,"REE, tin",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Placer,Cassiterite,Kokrines-Hodzana Placers,None.,"Inferred reserve (1991): 21,100,000 cubic yards bulk material @0.313 lbs/cubic yard SnO2, 0.046 lbs/cubic yard REE. Data calculated from resource estimates and Sn:Ree ratios reported by Barker (1991).",ARDF-ID: BT021; Barker (1991); Bellora and others (2019),https://doi.org/10.5066/F7FN15D1,,,,,,
ore-508,ore_site,Unnamed REE site 508,AK,,65.9863,-150.57123,point,REE,"REE, tin",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Placer,Cassiterite,Kokrines-Hodzana Placers,None.,"Inferred calculated resources for Upper, Middle, and Lower Ray River (1991): 109,100,000 lbs SnO2 and 49,400,000 lbs REE. See Barker (1991) for raw data used for resource estimates.",ARDF-ID: TN141; Bellora and others (2019); Barker (1991),https://doi.org/10.5066/F7FN15D1,,,,,,
ore-249,ore_site,Unnamed antimony site 249,AK,,62.4472,-157.9224,point,antimony,"antimony, arsenic, tungsten, zinc",Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,Kuskokwim-White Mountains Sn-W,"Production (1925-1937): 528 tons ore @0.884% Pb, 4.96 troy oz/ton Ag, 5.13 troy oz/ton Au, and 0.0618% Zn.","Resource (1992): 134,390 tonnes ore @1.2% Sb, 1.9% As, 9.9 g/t Au, 2.0% W, and 21.8 g/t Ag.",ARDF-ID: ID115; Karl and others (2020),https://doi.org/10.5066/P97NJLI4,,,,,,
ore-438,ore_site,Unnamed antimony site 438,AK,,67.4745,-150.2324,point,antimony,antimony,Ore Site,Past producer+CM resources,2,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Orogenic,Antimony,Eastern Brooks Range-Old Crow Gold,"Placer gold produced since 1904. Incomplete production figures year-by-year from 1904 to 2000 total 147,045 oz Au.","Probable lode reserves (2011): 42,412 tons @0.048 oz/ton Au and 28% Sb (11,880 tons Sb and 17,300 oz Au). Indicated lode resources (vein-fault ore zone): 11,204 short tons @19.71% Sb and 0.238 oz/ton Au (2,209.6 tons Sb and 2,667.5 oz Au). Inferred resources (Pringle and Workman's Bench): 32,459 short tons @14.50% Sb and 0.362 oz/ton Au (4,708.5 tons Sb and 11,752.5 oz Au).",ARDF-ID: WI101; Bundtzen (2011),,,,,,,
ore-12,ore_site,Unnamed barite site 12,AK,,68.155,-163.033,point,barite,"barite, zinc",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Basin brine path,Zinc-lead (MVT and sedex),Western and central Brooks Range (Brooks Range zinc belt),None.,"Inferred resource estimate from Teck-Comino is 19.4 Mt containing 14.4% Zn, 4.2% Pb, and 73 g/t Ag. A related exploration target, Aktigiruq, is estimated to contain 80 to 150 Mt having 16 to 18% Zn+Pb. Estimated resource as much as 1 billion tonnes barite as well as the Zn-Pb-Ag massive sulfide zone.",ARDF-ID: DL016; Krolak and others (2017),,,,,,,
ore-227,ore_site,Unnamed barite site 227,AK,,61.8252,-154.4726,point,barite,barite,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Basin brine path,Barite (replacement and bedded),Farewell Terrane,None.,Reserve estimated at 2.3 million tonnes @57% Ba.,ARDF-ID: LH002; Bundtzen and Gilbert (1991),,,,,,,
ore-344,ore_site,Unnamed barite site 344,AK,,68.6066,-157.4783,point,barite,barite,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Basin brine path,Barite (replacement and bedded),Brooks Range-Northern Foreland Sed Cu,None.,"Kelley and others (1993) estimated that the Lakeview occurrence has an Inferred reserve of 3,778,000 metric tons barite with a specific gravity of 4.13.",ARDF-ID: HW023; Kelley and others (1993),,,,,,,
