station_id,state,state_name,station_name,place_name,latitude,longitude,coordinate_source,geometry_precision,monitoring_year_start,monitoring_year_end,years_with_data_count,approved_sample_count,approved_dose_reading_count,dose_equivalent_rate_avg_nsvh,dose_equivalent_rate_p95_nsvh,dose_equivalent_rate_max_nsvh,gamma_count_rate_total_avg_cpm,background_radiation_band,dominant_radiation_profile,source_dataset
radnet-ak-anchorage,AK,Alaska,Anchorage,Anchorage,61.17425,-149.284329,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,122779,67778,33.57,40,97,1723.81,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ak-fairbanks,AK,Alaska,Fairbanks,Fairbanks,64.836531,-147.651745,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,16,105675,65538,38.48,46,203,2212.61,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ak-juneau,AK,Alaska,Juneau,Juneau,58.37291,-134.178445,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,112264,18645,34.49,40,99,2218.4,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-al-birmingham,AL,Alabama,Birmingham,Birmingham,33.527174,-86.797036,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,139879,75493,53.73,61,138,4053.99,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-al-mobile,AL,Alabama,Mobile,Mobile,30.668246,-88.107853,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2015,2025,11,71257,51635,43.79,50,95,3610.85,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-al-montgomery,AL,Alabama,Montgomery,Montgomery,32.348503,-86.267307,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,19,118981,73238,50,57,156,3870.28,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ar-fort_smith,AR,Arkansas,Fort Smith,Fort Smith,35.349276,-94.370883,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,109455,15746,62.78,67,116,4592.78,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ar-little_rock,AR,Arkansas,Little Rock,Little Rock,34.725393,-92.358556,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,135810,47313,89.21,103,147,8056.44,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-az-phoenix,AZ,Arizona,Phoenix,Phoenix,33.572154,-112.090132,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,116361,72081,85.74,94,156,6224.18,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-az-tucson,AZ,Arizona,Tucson,Tucson,32.153036,-110.870773,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,132890,20476,70.96,77,144,6021.7,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-az-yuma,AZ,Arizona,Yuma,Yuma,32.516286,-114.521782,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,15,72736,39362,79.09,88,139,6006.42,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-anaheim,CA,California,Anaheim,Anaheim,33.855502,-117.758657,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,143572,60698,69.89,77,115,5838.55,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-bakersfield,CA,California,Bakersfield,Bakersfield,35.353171,-119.037919,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,119785,48989,68.89,116,240,5170.65,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-eureka,CA,California,Eureka,Eureka,40.797594,-124.154191,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,127571,36323,37.57,41,59,3505.75,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-fresno,CA,California,Fresno,Fresno,36.782684,-119.793359,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,17,99728,25848,52.34,58,113,6139,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-los_angeles,CA,California,Los Angeles,Los Angeles,34.019394,-118.410825,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,136712,70554,74.9,79,96,5801.62,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-riverside,CA,California,Riverside,Riverside,33.938143,-117.393168,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,150792,6715,79.48,83,94,6036.47,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-sacramento,CA,California,Sacramento,Sacramento,38.567694,-121.468161,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,121576,18187,33.43,38,60,2532.86,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-san_bernardino,CA,California,San Bernardino,San Bernardino,34.14114,-117.294635,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,148789,25333,72.47,89,209,6297.11,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-san_diego,CA,California,San Diego,San Diego,32.814977,-117.135562,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,141889,76766,99.7,110,154,7154.19,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ca-san_francisco,CA,California,San Francisco,San Francisco,37.727239,-123.032229,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,154838,37199,45.75,105,148,3418.16,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
