asset_id,asset_type,site_name,state,county,latitude,longitude,geometry_precision,primary_material,critical_materials,dominant_raws_profile,asset_status,rank_score,presence_count,production_present_flag,resources_present_flag,total_reported_direct_emissions_mtco2e,iron_and_steel_production_emissions_mtco2e,reporting_year,source_dataset,source_detail
ore-472,ore_site,Unnamed PGE site 472,AK,,59.8891,-155.2807,point,PGE,"PGE, rhenium",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-489,ore_site,Unnamed PGE site 489,AK,,58.9226,-161.7311,point,PGE,PGE,Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-539,ore_site,Unnamed PGE site 539,AK,,58.9392,-161.7022,point,PGE,PGE,Ore Site,CM-past producer,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-437,ore_site,Unnamed REE site 437,AK,,66.1191,-150.06083,point,REE,"REE, tin",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-508,ore_site,Unnamed REE site 508,AK,,65.9863,-150.57123,point,REE,"REE, tin",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-249,ore_site,Unnamed antimony site 249,AK,,62.4472,-157.9224,point,antimony,"antimony, arsenic, tungsten, zinc",Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-438,ore_site,Unnamed antimony site 438,AK,,67.4745,-150.2324,point,antimony,antimony,Ore Site,Past producer+CM resources,2,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-12,ore_site,Unnamed barite site 12,AK,,68.155,-163.033,point,barite,"barite, zinc",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-227,ore_site,Unnamed barite site 227,AK,,61.8252,-154.4726,point,barite,barite,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-344,ore_site,Unnamed barite site 344,AK,,68.6066,-157.4783,point,barite,barite,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-358,ore_site,Unnamed barite site 358,AK,,68.6159,-157.4548,point,barite,barite,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-462,ore_site,Unnamed barite site 462,AK,,59.3966,-136.3919,point,barite,"barite, zinc",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-80,ore_site,Unnamed beryllium site 80,AK,,54.90939,-132.12719,point,beryllium,"beryllium, hafnium, REE, titanium, vanadium, zirconium",Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-149,ore_site,Unnamed chromium site 149,AK,,59.206,-151.8189,point,chromium,chromium,Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-267,ore_site,Unnamed chromium site 267,AK,,57.3603,-154.6003,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-29,ore_site,Unnamed chromium site 29,AK,,68.2467,-161.9034,point,chromium,"chromium, iridium, palladium, platinum",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-315,ore_site,Unnamed chromium site 315,AK,,67.944,-163.6117,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-322,ore_site,Unnamed chromium site 322,AK,,64.2216,-156.6661,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-406,ore_site,Unnamed chromium site 406,AK,,68.2436,-161.0687,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
ore-48,ore_site,Unnamed chromium site 48,AK,,61.572,-145.1432,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT
