state,county,plant_count,generator_count,operable_nameplate_capacity_mw,operable_summer_capacity_mw,operable_winter_capacity_mw,dominant_primary_fuel_code
AK,Aleutians East,2,12,7.6,5.6,5.6,DFO
AK,Aleutians West,4,19,47.1,41.3,41.3,DFO
AK,Anchorage,8,29,869.2,771.4,798.8,NG
AK,Bethel,11,36,29.9,29.9,29.9,DFO
AK,Bristol Bay,1,12,16.5,15.9,10.1,DFO
AK,Denali,2,4,117.4,102.4,102.4,WND
AK,Dillingham,3,16,15.1,15.1,15.1,DFO
AK,Fairbanks North Star,7,28,376.3,329.2,382.5,SUB
AK,Haines,1,5,8.4,8.4,8.4,DFO
AK,Juneau,9,30,254.3,220.1,220.1,WAT
AK,Kenai Peninsula,10,32,750.7,713.3,765.6,NG
AK,Ketchikan Gateway,7,15,65,62.1,60.4,WAT
AK,Kodiak Island,8,17,84.8,84.6,84.7,DFO
AK,Kusilvak,6,16,7.3,7.5,7.5,DFO
AK,Lake and Peninsula,1,5,1.7,1.7,1.7,DFO
AK,Matanuska Susitna,2,3,50.4,50.4,50.4,WAT
AK,NORTHWEST ARCTIC,1,35,18,18,18,SUN
AK,Nome,10,35,31.3,30.7,30.7,DFO
AK,North Slope,10,48,72.2,69,75.8,DFO
AK,Northwest Arctic,7,24,10.1,9.7,9.7,DFO
AK,Prince of Wales Ketchikan,13,19,30.3,30.1,30,DFO
AK,Sitka,3,10,60.1,59.6,59.6,WAT
AK,Skagway Hoonah Angoon,7,25,19,18.6,18.6,DFO
AK,Southeast Fairbanks,7,21,42.5,42.4,45.3,DFO
AK,Valdez Cordova,9,23,58.5,56.4,56.4,WAT
AK,Wrangell Petersburg,4,20,52.4,50.3,50.3,DFO
AK,Yakutat,1,4,3.8,3.8,3.8,DFO
AK,Yukon Koyukuk,3,13,7.5,5.9,6.5,DFO
AL,,3,0,0,0,0,
AL,Autauga,5,20,3342.3,3246.8,3379.7,NG
AL,Baldwin,1,0,0,0,0,
AL,Calhoun,3,8,828.3,782.5,855.5,SUN
AL,Chambers,3,1,79.2,79.2,79.2,SUN
AL,Cherokee,1,3,87.6,81,72.9,WAT
AL,Chilton,2,6,177,180,181.8,WAT
AL,Choctaw,1,2,87.5,66.8,67.4,BLQ
AL,Clarke,3,2,44.4,42.1,44.4,BLQ
AL,Colbert,3,12,1396.6,1253.2,1406.4,NG
AL,Coosa,1,4,170,163.1,164.9,WAT
AL,Covington,4,13,742.2,737,831,WAT
AL,Dale,2,1,10.6,10.6,10.6,SUN
AL,Dallas,3,4,104.2,104.2,104.2,NG
AL,Dekalb,1,3,4.8,4.8,4.8,LFG
AL,Elmore,5,16,677.1,659.3,649.9,WAT
AL,Escambia,2,3,103.4,69.1,75.1,NG
AL,Etowah,1,0,0,0,0,
AL,Fayette,1,0,0,0,0,
AL,Greene,1,11,1288.4,1256.1,1400.1,NG
AL,Houston,2,9,1785,1800,1800.9,DFO
AL,Jackson,2,2,14,14,14,DFO
AL,Jefferson,3,5,2825.8,2781.3,2781.3,OG
AL,LEE,1,2,103,100,100,NG
AL,Lauderdale,2,22,741.7,742.5,737.8,SUN
AL,Lawrence,3,11,404,398.2,366,WAT
AL,Lee,3,21,2207.3,2129.5,2206.7,WAT
AL,Limestone,2,4,3868.7,3676.4,3770.5,NUC
AL,Lowndes,1,2,97,84.5,94.5,NG
AL,MOBILE,1,0,0,0,0,
AL,Madison,2,3,43.4,40.6,37.6,MWH
AL,Marengo,1,2,47.4,43.5,45.7,BLQ
AL,Marion,1,0,0,0,0,
AL,Marshall,2,8,119.2,126.3,128.1,DFO
AL,Mobile,6,22,4002.9,3615.4,3743.2,NG
AL,Monroe,2,2,117,112.2,118.6,BLQ
AL,Montgomery,3,1,100,100,100,SUN
AL,Morgan,3,10,1804,1583.6,1711.6,NG
AL,Randolph,1,2,135,133,123,WAT
AL,Russell,2,4,150.5,146.5,150.5,SUN
AL,Shelby,1,6,2034,1868,1872,NG
AL,Talladega,4,6,252.6,248.9,240.6,NG
AL,Tallapoosa,1,3,822.8,752.7,815,NG
AL,Tuscaloosa,2,2,100.8,101,101,WAT
AL,Walker,2,2,181,178,175,WAT
AL,Washington,3,9,1531.2,1319,1484,NG
AL,Wilcox,2,5,178.5,164.8,165.1,WDS
AR,Arkansas,1,1,81,81,81,SUN
AR,Ashley,6,5,236.2,229.96,229.76,SUN
