state,plant_count,generator_count,operable_nameplate_capacity_mw,operable_summer_capacity_mw,operable_winter_capacity_mw,dominant_primary_fuel_code
AK,157,556,3107.4,2853.4,2989.2,DFO
AL,104,274,32810.4,30995.7,32210.6,NG
AR,145,212,17922.3,15906.76,16498.36,SUN
AZ,231,408,36344.9,32876.5,33967.9,SUN
CA,2171,3018,101974.8,96773.07,97842.94,SUN
CO,342,482,21646.7,19817.58,20236.21,SUN
CT,201,303,10827.9,9993.92,10531.04,SUN
DC,22,22,66.2,61.85,60.55,SUN
DE,43,71,3448.7,3303,3348.5,SUN
FL,405,707,77937.3,72011.9,75297.7,SUN
GA,315,581,42546.3,39745.95,41624.25,SUN
HI,93,223,3598.5,3369.17,3372.37,SUN
IA,331,717,24421.4,23226.14,23631.98,WND
ID,160,254,5811.8,5547.33,5495.75,WAT
IL,566,838,50525.6,46279.14,48425.34,SUN
IN,269,418,30547.3,27836.6,28955.3,SUN
KS,212,501,20555.5,19355.88,19874.37,NG
KY,92,174,21628.7,18380.4,19360.1,NG
LA,128,238,28225.1,24706.7,24630.4,NG
MA,700,971,12757.7,11505.36,12298.7,SUN
MD,246,330,12898.8,11717.9,12296.4,SUN
ME,269,434,5840.9,5586.27,5800.1,SUN
MI,332,770,33798.9,32139.4,33839.59,NG
MN,837,1312,19765.6,18212.53,18957.06,SUN
MO,164,374,22260.2,20419.05,21210.45,DFO
MS,88,150,17541.6,15961.1,16925,NG
MT,83,162,7403.5,7182.4,7270.3,WAT
NC,988,1224,39630.5,36336.6,38370.4,SUN
ND,71,101,10162.4,9683.61,9793.17,WND
NE,141,303,11435.9,10867.95,10714.35,WND
NH,61,137,4730.3,4470.3,4634.3,WAT
NJ,427,615,18047.2,16605.77,17107.61,SUN
NM,182,214,12932.3,11887.4,12157.9,SUN
NV,147,295,18204.2,16725.2,17122.1,SUN
NY,1215,1919,44066.7,41288.04,43568.57,SUN
OH,262,479,33145.1,30490.65,32239.31,SUN
OK,167,312,34436.8,31906.26,32416.67,WND
OR,321,491,18441.5,17691.64,18036.59,SUN
PA,324,642,52838.4,48855.65,50800.16,NG
RI,109,148,2505.8,2321.7,2485.8,SUN
SC,259,392,26838.2,24705.49,25640.01,SUN
SD,62,104,7661.4,7225.92,7458.13,WND
TN,124,287,23357,20605.15,21810.37,SUN
TX,1368,2221,179581.2,168316.48,173128.32,NG
UT,147,233,10686.4,10277.18,10397.44,SUN
VA,317,730,30798.1,29146.45,30846.75,SUN
VT,124,216,912.3,863.5,905.1,SUN
WA,172,427,31660.6,30975.3,31316.1,WAT
WI,292,645,18820.5,17430.09,18500.25,SUN
WV,56,91,15878.6,15128.4,15288.1,WAT
WY,90,128,11755.1,10845.5,10895.9,WND
