Short reference,Reference,URL
Adkins (2015),"Adkins, A.R., 2015, NI [Canadian National Instrument] technical report of the Sunday Mine Complex uranium property, San Miguel County, Colorado, USA: Toronto, Ontario, Canada, Western Uranium Corporation, Inc. prepared by author, Nucla, Colorado, 42 p., accessed March 27, 2023, at https://western-uranium.com/technical-reports.html.",https://western-uranium.com/technical-reports.html
"Agapito Associates, Inc. (2022)","Agapito Associates, Inc., 2022, Technical report summary of 2021estimated resources and reserves at Intrepid Potash- New Mexico: Report prepared for Intrepid Potash-New Mexico, LLC, effective date December 31, 2021, report date February 18, 2022, accessed May 2, 2023, at https://www.sec.gov/Archives/edgar/data/1421461/000142146122000011/ipi12312021exhibit961a.htm.",https://www.sec.gov/Archives/edgar/data/1421461/000142146122000011/ipi12312021exhibit961a.htm
Albemarle Corporation (2022),"Albemarle Corporation, 2022, Albemarle Corporation annual report for the fiscal year ended December 31, 2022: US SEC Form 10-K, 126 p.",
Alief (2009),"Alief, M.H., 2009, NI [Canadian National Instrument] 43-101amended technical report on Torbyn Property: Lakewood, Colorado, Energy Fuels Incorporated, prepared by Alinco GeoServices, Lakewood, Colorado, 37 p.",
American Rare Earths (2021),"American Rare Earths, 2021, Drilling at La Paz delivers indicated resource estimate increase 117% to 35.2 million tonnes (MT): American Rare Earths ASX announcement dated August 3, 2021, 63 p., accessed January 30, 2024, at https://announcements.asx.com.au/asxpdf/20210803/pdf/44yypqvr0p0v90.pdf.",https://announcements.asx.com.au/asxpdf/20210803/pdf/44yypqvr0p0v90.pdf
American Rare Earths (2024),"American Rare Earths, 2024,Technical report of exploration and updated resource estimates of the Halleck Creek Rare Earths Project: American Rare Earths, Ltd, 268 p., accessed March 1, 2024 at https://americanrareearths.com.au/wp-content/uploads/2024/02/01_Halleck_Creek_Technical_Report_v17-Appendices.pdf.",https://americanrareearths.com.au/wp-content/uploads/2024/02/01_Halleck_Creek_Technical_Report_v17-Appendices.pdf
American West Metals Ltd. (2023),"American West Metals Ltd., 2023, Maiden JORC mineral resource increases zinc metal by 44% at the West Desert deposit: American West Metals Limited ASX release dated February 9, 2023, 36 p., website accessed April 3, 2023, at https://investingnews.com.au/maiden-jorc-mineral-resource-increases-zinc-metal-by-44-at-the-west-desert-deposit.",https://investingnews.com.au/maiden-jorc-mineral-resource-increases-zinc-metal-by-44-at-the-west-desert-deposit
Anderson (1947),"Anderson, A.L., 1947, Geology of the lead-silver deposits of the Clark Fork District, Bonner County, Idaho: U.S. Geological Survey Bulletin 944-B, 88 p.",https://pubs.er.usgs.gov/publication/b944B
Anson Resources (2022),"Anson Resources, 2022, Anson delivers 1 Mt LCE mineral resource at Paradox lithium project: Anson Resources press release dated November 2, 2022, 30 p., accessed March 30, 2023, at https://wcsecure.weblink.com.au/pdf/ASN/02592652.pdf.",https://wcsecure.weblink.com.au/pdf/ASN/02592652.pdf
ARDF (1996),"U.S. Geological Survey, 1996, Alaska Resource Data File, (ver. 1.7, March, 2018): U.S. Geological Survey data release, https://doi.org/10.5066/P96MMRFD.",https://doi.org/10.5066/P96MMRFD
Arizona Lithium (2022),"Arizona Lithium, 2022, Commencement of definitive feasibility study at Big Sandy lithium project: ASX announcement press release dated November 22, 2022, 3 p.",
Arkansas Geological Survey (2007),"Arkansas Geological Survey, 2007, History of bauxite in Arkansas: A.G.E.S. Brochure Series 003, 8 p., accessed May 30, 2023, at https://www.geology.arkansas.gov/docs/pdf/education/Bauxite.pdf.",https://www.geology.arkansas.gov/docs/pdf/education/Bauxite.pdf
Arseneau (2023),"Arseneau, G., 2023, NI [Canadian National Instrument] 43-101 2022 mineral resource update for the Niblack polymetallic project, Prince of Wales Island, Alaska, USA: Vancouver, British Columbia, Canada, Blackwolf Copper & Gold, Ltd., prepared by Arseneau Consulting Services Inc., Vancouver, British Columbia, Canada, 112 p.",
